spacing,radius,rho,bin,nz,ny,nx,solid_angle_weight,g,total_area_rel_err,closure_residual
1x1x1,48,48,111,-0.161458333333,-0.83586362771,0.524655317773,0.0051975,1.09071911849,0.0857443809509,1.34972538257e-07
1x1x1,48,48,112,-0.171875,0.969007433858,0.177436122317,0.0052075,1.09301769211,0.0857443809509,1.34972538257e-07
1x1x1,48,48,113,-0.182291666667,-0.593528159353,-0.783896722993,0.005195,1.0913924854,0.0857443809509,1.34972538257e-07
1x1x1,48,48,114,-0.192708333333,-0.0916796553185,0.976963837132,0.0052025,1.08090294026,0.0857443809509,1.34972538257e-07
1x1x1,48,48,115,-0.203125,0.725971891916,-0.657042651982,0.0052025,1.06700369085,0.0857443809509,1.34972538257e-07
1x1x1,48,48,116,-0.213541666667,-0.97691619664,-0.00589078433271,0.0052,1.05533784785,0.0857443809509,1.34972538257e-07
1x1x1,48,48,117,-0.223958333333,0.714656044032,0.662653305778,0.0052125,1.08209267213,0.0857443809509,1.34972538257e-07
1x1x1,48,48,118,-0.234375,-0.0791495764448,-0.968918832474,0.0052,1.07973239911,0.0857443809509,1.34972538257e-07
1x1x1,48,48,119,-0.244791666667,-0.594556529698,0.765884830065,0.005215,1.08372665529,0.0857443809509,1.34972538257e-07
1x1x1,48,48,120,-0.255208333333,0.95310397529,-0.162669969213,0.005205,1.11900572463,0.0857443809509,1.34972538257e-07
1x1x1,48,48,121,-0.265625,-0.810309665504,-0.522342421565,0.0052125,1.11681914637,0.0857443809509,1.34972538257e-07
1x1x1,48,48,122,-0.276041666667,0.243916135403,0.929680545754,0.00521,1.11566133377,0.0857443809509,1.34972538257e-07
1x1x1,48,48,123,-0.286458333333,0.446710572054,-0.847579664739,0.00522,1.12619009466,0.0857443809509,1.34972538257e-07
1x1x1,48,48,124,-0.296875,-0.898932180041,0.322158610099,0.0052175,1.12620186572,0.0857443809509,1.34972538257e-07
1x1x1,48,48,125,-0.307291666667,0.877416041191,0.368392348262,0.005215,1.12728594273,0.0857443809509,1.34972538257e-07
1x1x1,48,48,126,-0.317708333333,-0.396700095284,-0.861214519926,0.00522,1.11804264283,0.0857443809509,1.34972538257e-07
1x1x1,48,48,127,-0.328125,-0.288143607371,0.899615054291,0.0052175,1.12209793246,0.0857443809509,1.34972538257e-07
1x1x1,48,48,128,-0.338541666667,0.816951793255,-0.466882541361,0.005225,1.11447717949,0.0857443809509,1.34972538257e-07
1x1x1,48,48,129,-0.348958333333,-0.914050235156,-0.206737150046,0.0052275,1.12785022648,0.0857443809509,1.34972538257e-07
1x1x1,48,48,130,-0.359375,0.53209386923,0.766632717605,0.00522,1.101469871,0.0857443809509,1.34972538257e-07
1x1x1,48,48,131,-0.369791666667,0.124954985833,-0.920673869934,0.00523,1.11446668994,0.0857443809509,1.34972538257e-07
1x1x1,48,48,132,-0.380208333333,-0.710805766748,0.591774268807,0.005225,1.07415740786,0.0857443809509,1.34972538257e-07
1x1x1,48,48,133,-0.390625,0.919517727245,0.0435804848133,0.00523,1.08308542505,0.0857443809509,1.34972538257e-07
1x1x1,48,48,134,-0.401041666667,-0.645422014113,-0.650073846032,0.0052325,1.04626623428,0.0857443809509,1.34972538257e-07
1x1x1,48,48,135,-0.411458333333,0.0366095089723,0.910693023902,0.0052225,1.11025718047,0.0857443809509,1.34972538257e-07
1x1x1,48,48,136,-0.421875,0.585088429046,-0.692598739944,0.005225,1.05884133365,0.0857443809509,1.34972538257e-07
1x1x1,48,48,137,-0.432291666667,-0.894389631056,0.11485252627,0.0052275,1.1156915683,0.0857443809509,1.34972538257e-07
1x1x1,48,48,138,-0.442708333333,0.732934130694,0.51654321374,0.0052275,1.08439787444,0.0857443809509,1.34972538257e-07
1x1x1,48,48,139,-0.453125,-0.190408207539,-0.870874531076,0.0052275,1.11724031699,0.0857443809509,1.34972538257e-07
1x1x1,48,48,140,-0.463541666667,-0.445167361746,0.766129978072,0.0052425,1.09441211204,0.0857443809509,1.34972538257e-07
1x1x1,48,48,141,-0.473958333333,0.840489543811,-0.262565848899,0.005235,1.11162125357,0.0857443809509,1.34972538257e-07
1x1x1,48,48,142,-0.484375,-0.791963571178,-0.371718389782,0.005235,1.11214292296,0.0857443809509,1.34972538257e-07
